[05:26:45] === ConfuMPNN Phase 2 条件微调启动（v10）===
[05:26:45] device=cuda:6  epochs=16  lr=0.001  λ_c=0.5  λ_kl=0.05  λ_keep=0.5  perturb_prob=0.3  perturb_scale=4.0  placeholder_prob=0.15  charge_temp=0.5
[05:26:45] [v11 A-fix] 绝对 target 采样开：target ∈ Uniform[-35.0, 20.0]，与 native 无关（覆盖验证深负靶区）
[05:26:45] [v12] 训练侧监督开：组成双计数(floor=0.5) + GRAVY(margin=0.4)  λ_v12=0.2  λ_target=0.2  SASA θ=0.25
[05:26:45] [v10 C] pH 自适应结构惩罚开：boost=1.5
[05:26:45] [A1 global] 计数锚覆盖 surface∪pocket：floor=0.8 ceil=1.3 λ_pocket=0.3 cutoff=8.0
[05:26:47] backbone: MoMPNN 冻结（2.62M 参数，不更新）
[05:26:47] ConditionEncoder 可训练（74880 参数，唯一更新对象）
[05:26:47] 数据：1364 结构域 × 8 pH = 10912 样本（ablation/data/labels_ablate_lig.npz）
[05:26:48]   ℹ️ 1JCG.pdb 分区 pocket=53/335 core=140 surface=153
[05:31:19]   ℹ️ 1ELL.pdb 分区 pocket=39/305 core=157 surface=125
[05:31:20]   ℹ️ 1Q8V.pdb 分区 pocket=118/480 core=180 surface=220
[05:31:20]   ℹ️ 1LR4.pdb 分区 pocket=27/327 core=153 surface=155
[05:31:21]   ℹ️ 1Q0E.pdb 分区 pocket=61/302 core=100 surface=160
[05:31:21]   ℹ️ 1E0C.pdb 分区 pocket=71/270 core=108 surface=118
[05:31:22]   ℹ️ 1OKT.pdb 分区 pocket=53/422 core=179 surface=210
[05:31:22]   ℹ️ 1A7W.pdb 分区 pocket=11/68 core=11 surface=55
[05:31:23]   ℹ️ 1AMS.pdb 分区 pocket=35/395 core=184 surface=183
[05:31:24]   ℹ️ 1OXA.pdb 分区 pocket=59/403 core=179 surface=179
[05:31:24]   ℹ️ 1FTG.pdb 分区 pocket=16/168 core=75 surface=82
[05:31:24]   ℹ️ 1EQT.pdb 分区 pocket=15/134 core=50 surface=78
[05:31:24]   ℹ️ 1HJ9.pdb resnum 对齐 217/223（6 个非标准/parse独有残基 frac=0）
[05:31:24]   ℹ️ 1HJ9.pdb 分区 pocket=61/223 core=89 surface=100
[05:31:25]   ℹ️ 1ALQ.pdb 分区 pocket=10/259 core=142 surface=114
[05:31:25]   ℹ️ 1OPR.pdb 分区 pocket=27/213 core=83 surface=115
[05:31:25]   ℹ️ 1NSF.pdb 分区 pocket=32/247 core=103 surface=123
[05:31:26]   ℹ️ 1KX9.pdb 分区 pocket=39/210 core=73 surface=124
[05:31:27]   ℹ️ 1CC2.pdb 分区 pocket=66/498 core=243 surface=194
[05:31:27]   ℹ️ 1FXY.pdb resnum 对齐 218/227（9 个非标准/parse独有残基 frac=0）
[05:31:27]   ℹ️ 1FXY.pdb 分区 pocket=32/227 core=101 surface=104
[05:31:28]   ℹ️ 1GS6.pdb 分区 pocket=33/332 core=154 surface=154
[05:31:28]   ℹ️ 1G8O.pdb 分区 pocket=28/287 core=146 surface=119
[05:31:29]   ℹ️ 1IVB.pdb 分区 pocket=51/390 core=203 surface=151
[05:31:29]   ℹ️ 1P0B.pdb 分区 pocket=45/368 core=178 surface=155
[05:31:30]   ℹ️ 1KJX.pdb 分区 pocket=33/431 core=226 surface=180
[05:31:30]   ℹ️ 1CIG.pdb 分区 pocket=58/107 core=13 surface=62
[05:31:31]   ℹ️ 1G6T.pdb 分区 pocket=123/427 core=187 surface=172
[05:31:32]   ℹ️ 1ESE.pdb 分区 pocket=26/302 core=147 surface=132
[05:31:32]   ℹ️ 1DZK.pdb 分区 pocket=51/296 core=96 surface=154
[05:31:33]   ℹ️ 1LDM.pdb 分区 pocket=59/329 core=133 surface=156
[05:31:33]   ℹ️ 13SF.pdb 分区 pocket=124/276 core=61 surface=156
[05:31:33]   ℹ️ 1NSA.pdb resnum 对齐 393/394（1 个非标准/parse独有残基 frac=0）
[05:31:34]   ℹ️ 1NSA.pdb 分区 pocket=50/394 core=202 surface=148
[05:31:34]   ℹ️ 1HCH.pdb 分区 pocket=81/306 core=107 surface=139
[05:31:34]   预解析+encode 599/1364（跳过 1）
[05:31:34]   ℹ️ 1EX7.pdb 分区 pocket=43/186 core=51 surface=110
[05:31:35]   ℹ️ 1HQL.pdb 分区 pocket=93/465 core=212 surface=199
[05:31:36]   ℹ️ 1IGS.pdb 分区 pocket=13/247 core=132 surface=105
[05:31:36]   ℹ️ 1NL1.pdb 分区 pocket=41/137 core=49 surface=81
[05:31:36]   ℹ️ 1S3L.pdb 分区 pocket=14/330 core=174 surface=146
[05:31:37]   ℹ️ 1F5B.pdb 分区 pocket=47/106 core=19 surface=59
[05:31:37]   ℹ️ 1MSK.pdb 分区 pocket=38/327 core=147 surface=157
[05:31:38]   ℹ️ 1EA1.pdb 分区 pocket=58/447 core=204 surface=197
[05:31:38]   ℹ️ 13MM.pdb 分区 pocket=34/313 core=148 surface=151
[05:31:39]   ℹ️ 1CAN.pdb 分区 pocket=51/259 core=107 surface=116
[05:31:39]   ℹ️ 1H9R.pdb 分区 pocket=55/278 core=99 surface=132
[05:31:40]   ℹ️ 1NGC.pdb 分区 pocket=48/378 core=169 surface=170
[05:31:40]   ℹ️ 1GCZ.pdb 分区 pocket=141/350 core=109 surface=152
[05:31:40]   ℹ️ 1FTN.pdb 分区 pocket=36/174 core=63 surface=87
[05:31:41]   ℹ️ 1HZ1.pdb 分区 pocket=24/104 core=36 surface=62
[05:31:41]   ℹ️ 1GKC.pdb 分区 pocket=150/315 core=85 surface=149
[05:31:42]   ℹ️ 1DUR.pdb 分区 pocket=45/55 core=0 surface=39
[05:31:42]   ℹ️ 1K6D.pdb 分区 pocket=39/436 core=207 surface=212
[05:31:42]   ℹ️ 1N2S.pdb 分区 pocket=46/298 core=122 surface=149
[05:31:43]   ℹ️ 1HPO.pdb 分区 pocket=39/198 core=77 surface=96
[05:31:43]   ℹ️ 1IIR.pdb 分区 pocket=22/382 core=185 surface=187
[05:31:43]   ℹ️ 1AW9.pdb 分区 pocket=20/215 core=95 surface=113
[05:31:44]   ℹ️ 1LP6.pdb 分区 pocket=49/418 core=214 surface=173
[05:31:44]   ℹ️ 1MWE.pdb resnum 对齐 383/388（5 个非标准/parse独有残基 frac=0）
[05:31:44]   ℹ️ 1MWE.pdb 分区 pocket=71/388 core=195 surface=152
[05:31:45]   ℹ️ 1RK5.pdb 分区 pocket=28/474 core=258 surface=188
[05:31:45]   ℹ️ 1ERM.pdb 分区 pocket=39/262 core=119 surface=118
[05:31:46]   ℹ️ 1CNI.pdb 分区 pocket=35/257 core=115 surface=117
[05:31:46]   ℹ️ 1IY1.pdb resnum 对齐 233/234（1 个非标准/parse独有残基 frac=0）
[05:31:46]   ℹ️ 1IY1.pdb 分区 pocket=30/234 core=99 surface=121
[05:31:47]   ℹ️ 1PHD.pdb 分区 pocket=62/405 core=183 surface=172
[05:31:47]   ℹ️ 1L4L.pdb 分区 pocket=42/347 core=174 surface=142
[05:31:47]   ℹ️ 1OVH.pdb 分区 pocket=62/162 core=37 surface=88
[05:31:48]   ℹ️ 1I05.pdb 分区 pocket=52/156 core=47 surface=79
[05:31:48]   ℹ️ 1ES1.pdb 分区 pocket=32/82 core=12 surface=58
[05:31:48]   ℹ️ 1MSA.pdb 分区 pocket=232/436 core=111 surface=180
[05:31:49]   ℹ️ 1N3O.pdb 分区 pocket=74/482 core=216 surface=216
[05:31:49]   ℹ️ 1N4F.pdb 分区 pocket=78/129 core=24 surface=68
[05:31:49]   ℹ️ 1OPD.pdb 分区 pocket=20/85 core=20 surface=49
[05:31:49]   ℹ️ 1EYE.pdb 分区 pocket=32/256 core=98 surface=130
[05:31:50]   ℹ️ 1JB9.pdb 分区 pocket=38/307 core=135 surface=150
[05:31:50]   ℹ️ 1KUF.pdb 分区 pocket=60/201 core=83 surface=93
[05:31:51]   ℹ️ 1OJT.pdb 分区 pocket=66/482 core=206 surface=229
[05:31:51]   ℹ️ 1C39.pdb 分区 pocket=65/304 core=128 surface=152
[05:31:52]   ℹ️ 1C1M.pdb resnum 对齐 228/240（12 个非标准/parse独有残基 frac=0）
[05:31:52]   ℹ️ 1C1M.pdb 分区 pocket=34/240 core=120 surface=106
[05:31:52]   ℹ️ 1NNL.pdb 分区 pocket=69/412 core=153 surface=208
[05:31:53]   ℹ️ 1E1O.pdb 分区 pocket=78/485 core=195 surface=243
[05:31:53]   ℹ️ 1RHC.pdb 分区 pocket=70/330 core=145 surface=134
[05:31:53]   ℹ️ 1KNL.pdb 分区 pocket=29/126 core=43 surface=71
[05:31:54]   ℹ️ 1M17.pdb 分区 pocket=29/311 core=131 surface=163
[05:31:54]   ℹ️ 1L5K.pdb 分区 pocket=42/346 core=173 surface=142
[05:31:54]   ℹ️ 1N6C.pdb 分区 pocket=29/283 core=106 surface=161
[05:31:55]   ℹ️ 1IJ0.pdb 分区 pocket=41/93 core=15 surface=60
[05:31:55]   ℹ️ 1JUG.pdb 分区 pocket=13/125 core=49 surface=70
[05:31:56]   ℹ️ 1AL6.pdb 分区 pocket=49/435 core=193 surface=210
[05:31:56]   ℹ️ 1JZF.pdb 分区 pocket=46/128 core=31 surface=71
[05:31:56]   ℹ️ 1N0I.pdb 分区 pocket=34/309 core=142 surface=144
[05:31:56]   ℹ️ 1DDE.pdb 分区 pocket=19/310 core=146 surface=157
[05:31:57]   ℹ️ 1DR1.pdb 分区 pocket=54/186 core=52 surface=102
[05:31:58]   ℹ️ 1E3C.pdb 分区 pocket=28/481 core=282 surface=178
[05:31:58]   ℹ️ 1RE9.pdb 分区 pocket=111/404 core=154 surface=179
[05:31:58]   ℹ️ 1NYY.pdb 分区 pocket=21/263 core=132 surface=118
[05:31:59]   ℹ️ 1D5J.pdb 分区 pocket=123/342 core=113 surface=159
[05:31:59]   ℹ️ 11BG.pdb 分区 pocket=95/248 core=60 surface=134
[05:32:00]   ℹ️ 1AGM.pdb 分区 pocket=137/470 core=226 surface=174
[05:32:00]   ℹ️ 1H12.pdb 分区 pocket=29/404 core=227 surface=161
[05:32:01]   ℹ️ 1DR5.pdb 分区 pocket=52/186 core=61 surface=100
[05:32:01]   ℹ️ 1KMJ.pdb 分区 pocket=38/404 core=203 surface=174
[05:32:02]   ℹ️ 13YH.pdb 分区 pocket=160/457 core=161 surface=223
[05:32:02]   ℹ️ 1FK4.pdb 分区 pocket=51/93 core=10 surface=62
[05:32:02]   ℹ️ 1DR9.pdb 分区 pocket=23/200 core=73 surface=121
[05:32:02]   ℹ️ 1KOU.pdb 分区 pocket=46/119 core=31 surface=65
[05:32:03]   ℹ️ 1RCQ.pdb 分区 pocket=42/356 core=163 surface=161
[05:32:03]   ℹ️ 1MLU.pdb 分区 pocket=42/154 core=46 surface=90
[05:32:03]   ℹ️ 1N3L.pdb 分区 pocket=54/332 core=138 surface=167
[05:32:04]   ℹ️ 1OHR.pdb 分区 pocket=40/198 core=77 surface=98
[05:32:04]   ℹ️ 1QK5.pdb 分区 pocket=65/432 core=223 surface=163
[05:32:05]   ℹ️ 1LJ5.pdb 分区 pocket=53/379 core=194 surface=164
[05:32:05]   ℹ️ 1DBF.pdb 分区 pocket=103/381 core=150 surface=171
[05:32:06]   ℹ️ 1O42.pdb 分区 pocket=27/106 core=33 surface=59
[05:32:06]   ℹ️ 1MIH.pdb 分区 pocket=34/256 core=95 surface=142
[05:32:06]   ℹ️ 1OKR.pdb 分区 pocket=26/242 core=94 surface=138
[05:32:06]   ℹ️ 1E4B.pdb 分区 pocket=38/206 core=79 surface=103
[05:32:07]   ℹ️ 1H6H.pdb 分区 pocket=25/143 core=40 surface=94
[05:32:07]   ℹ️ 1FIK.pdb 分区 pocket=7/139 core=63 surface=74
[05:32:07]   ℹ️ 1NF9.pdb 分区 pocket=29/207 core=91 surface=100
[05:32:08]   ℹ️ 1IFS.pdb 分区 pocket=20/258 core=119 surface=122
[05:32:08]   ℹ️ 1B4S.pdb 分区 pocket=71/450 core=220 surface=189
[05:32:08]   ℹ️ 1AZ1.pdb 分区 pocket=57/314 core=139 surface=136
[05:32:09]   ℹ️ 1K7I.pdb 分区 pocket=82/462 core=201 surface=215
[05:32:09]   ℹ️ 1C86.pdb 分区 pocket=26/296 core=149 surface=126
[05:32:10]   ℹ️ 1IGB.pdb 分区 pocket=25/291 core=155 surface=118
[05:32:10]   ℹ️ 1N29.pdb 分区 pocket=21/117 core=42 surface=63
[05:32:10]   ℹ️ 1Q65.pdb 分区 pocket=45/368 core=182 surface=152
[05:32:11]   ℹ️ 1JMG.pdb 分区 pocket=25/316 core=148 surface=149
[05:32:11]   ℹ️ 1MZS.pdb 分区 pocket=56/316 core=133 surface=147
[05:32:11]   ℹ️ 1E9B.pdb 分区 pocket=57/209 core=72 surface=100
[05:32:12]   ℹ️ 1COJ.pdb 分区 pocket=11/211 core=83 surface=119
[05:32:12]   ℹ️ 1MT0.pdb 分区 pocket=12/241 core=116 surface=118
[05:32:13]   ℹ️ 1EVX.pdb 分区 pocket=113/324 core=75 surface=172
[05:32:13]   ℹ️ 1MZV.pdb 分区 pocket=27/216 core=90 surface=110
[05:32:13]   ℹ️ 1B92.pdb 分区 pocket=38/144 core=44 surface=80
[05:32:13]   ℹ️ 1CPQ.pdb 分区 pocket=45/129 core=24 surface=85
[05:32:14]   ℹ️ 1IMJ.pdb 分区 pocket=11/208 core=104 surface=95
[05:32:14]   ℹ️ 1L4G.pdb 分区 pocket=42/346 core=172 surface=143
[05:32:14]   ℹ️ 1MOZ.pdb 分区 pocket=58/356 core=152 surface=170
[05:32:15]   ℹ️ 1CAI.pdb 分区 pocket=33/258 core=113 surface=117
[05:32:15]   ℹ️ 1MLM.pdb 分区 pocket=40/154 core=47 surface=89
[05:32:15]   ℹ️ 1I5A.pdb 分区 pocket=70/358 core=132 surface=184
[05:32:16]   ℹ️ 1ARU.pdb 分区 pocket=89/336 core=118 surface=151
[05:32:16]   ℹ️ 1GEY.pdb 分区 pocket=35/335 core=152 surface=157
[05:32:16]   ℹ️ 1BAP.pdb 分区 pocket=20/305 core=149 surface=136
[05:32:17]   ℹ️ 1O4R.pdb 分区 pocket=18/105 core=33 surface=62
[05:32:17]   ℹ️ 1B3V.pdb 分区 pocket=44/301 core=152 surface=128
[05:32:17]   ℹ️ 151L.pdb 分区 pocket=4/162 core=67 surface=93
[05:32:18]   ℹ️ 1FSU.pdb 分区 pocket=58/474 core=246 surface=179
[05:32:18]   ℹ️ 1C6P.pdb 分区 pocket=27/162 core=59 surface=89
[05:32:18]   ℹ️ 1EJE.pdb 分区 pocket=52/192 core=51 surface=113
[05:32:19]   ℹ️ 1HJ8.pdb resnum 对齐 216/220（4 个非标准/parse独有残基 frac=0）
[05:32:19]   ℹ️ 1HJ8.pdb 分区 pocket=42/220 core=95 surface=100
[05:32:19]   ℹ️ 1PXC.pdb 分区 pocket=66/394 core=162 surface=180
[05:32:20]   ℹ️ 18GS.pdb 分区 pocket=91/416 core=180 surface=186
[05:32:20]   ℹ️ 1LSV.pdb 分区 pocket=47/117 core=16 surface=75
[05:32:20]   ℹ️ 195L.pdb 分区 pocket=27/162 core=59 surface=88
[05:32:20]   ℹ️ 1IGO.pdb resnum 对齐 407/410（3 个非标准/parse独有残基 frac=0）
[05:32:20]   ℹ️ 1IGO.pdb 分区 pocket=7/410 core=219 surface=189
[05:32:21]   ℹ️ 1Q36.pdb 分区 pocket=108/427 core=189 surface=172
[05:32:21]   ℹ️ 1E81.pdb resnum 对齐 311/330（19 个非标准/parse独有残基 frac=0）
[05:32:21]   ℹ️ 1E81.pdb 分区 pocket=40/330 core=162 surface=141
[05:32:22]   ℹ️ 1R6W.pdb 分区 pocket=30/321 core=149 surface=149
[05:32:22]   ℹ️ 1BCJ.pdb 分区 pocket=93/462 core=171 surface=252
[05:32:23]   ℹ️ 1M0Q.pdb 分区 pocket=51/431 core=214 surface=183
[05:32:23]   ℹ️ 1FJW.pdb 分区 pocket=81/316 core=122 surface=142
[05:32:23]   ℹ️ 1BWO.pdb 分区 pocket=106/180 core=20 surface=120
[05:32:24]   ℹ️ 1DFX.pdb 分区 pocket=32/125 core=36 surface=75
[05:32:24]   ℹ️ 1H2F.pdb 分区 pocket=36/207 core=82 surface=98
[05:32:24]   ℹ️ 1S51.pdb 分区 pocket=84/454 core=174 surface=214
[05:32:25]   ℹ️ 1IQ7.pdb 分区 pocket=25/341 core=170 surface=157
[05:32:25]   ℹ️ 1O4H.pdb 分区 pocket=15/106 core=40 surface=58
[05:32:25]   ℹ️ 1BLZ.pdb 分区 pocket=38/327 core=150 surface=147
[05:32:26]   ℹ️ 1NHI.pdb 分区 pocket=66/333 core=123 surface=170
[05:32:26]   ℹ️ 1H5D.pdb 分区 pocket=81/306 core=107 surface=138
[05:32:27]   ℹ️ 1GEW.pdb 分区 pocket=35/333 core=154 surface=154
[05:32:27]   ℹ️ 1CNW.pdb 分区 pocket=46/256 core=106 surface=116
[05:32:28]   ℹ️ 13ZS.pdb 分区 pocket=133/457 core=175 surface=224
[05:32:28]   ℹ️ 1BC2.pdb 分区 pocket=50/432 core=204 surface=198
[05:32:28]   ℹ️ 1MEA.pdb 分区 pocket=20/28 core=0 surface=21
[05:32:29]   ℹ️ 1E3B.pdb 分区 pocket=9/172 core=88 surface=81
[05:32:29]   ℹ️ 1LUW.pdb 分区 pocket=43/396 core=174 surface=192
[05:32:30]   ℹ️ 1E1L.pdb 分区 pocket=81/455 core=186 surface=220
[05:32:30]   ℹ️ 1R9Q.pdb 分区 pocket=17/309 core=140 surface=153
[05:32:30]   ℹ️ 1HNA.pdb 分区 pocket=16/217 core=95 surface=111
[05:32:30]   ℹ️ 1IOC.pdb 分区 pocket=5/133 core=64 surface=67
[05:32:31]   ℹ️ 1K1I.pdb resnum 对齐 217/223（6 个非标准/parse独有残基 frac=0）
[05:32:31]   ℹ️ 1K1I.pdb 分区 pocket=36/223 core=103 surface=99
[05:32:31]   ℹ️ 1BTU.pdb resnum 对齐 228/240（12 个非标准/parse独有残基 frac=0）
[05:32:31]   ℹ️ 1BTU.pdb 分区 pocket=53/240 core=113 surface=103
[05:32:31]   ℹ️ 1LSQ.pdb 分区 pocket=32/246 core=93 surface=136
[05:32:32]   ℹ️ 1CC4.pdb 分区 pocket=67/391 core=163 surface=178
[05:32:32]   ℹ️ 13OD.pdb 分区 pocket=37/313 core=145 surface=153
[05:32:33]   ℹ️ 1NFP.pdb 分区 pocket=60/228 core=79 surface=124
[05:32:33]   ℹ️ 1L0C.pdb 分区 pocket=44/166 core=52 surface=93
[05:32:33]   ℹ️ 1GB7.pdb 分区 pocket=0/130 core=61 surface=69
[05:32:34]   ℹ️ 1FXA.pdb 分区 pocket=40/196 core=64 surface=110
[05:32:34]   ℹ️ 1MOB.pdb 分区 pocket=37/154 core=50 surface=89
[05:32:34]   ℹ️ 1IBH.pdb 分区 pocket=28/151 core=44 surface=84
[05:32:34]   ℹ️ 1MJX.pdb 分区 pocket=7/350 core=165 surface=180
[05:32:35]   ℹ️ 1J4N.pdb 分区 pocket=22/249 core=115 surface=128
[05:32:35]   ℹ️ 1NWW.pdb 分区 pocket=46/291 core=122 surface=133
[05:32:35]   ℹ️ 1SBP.pdb 分区 pocket=26/309 core=159 surface=127
[05:32:36]   ℹ️ 1E7M.pdb 分区 pocket=6/485 core=261 surface=220
[05:32:37]   ℹ️ 1IWJ.pdb 分区 pocket=61/405 core=184 surface=172
[05:32:37]   ℹ️ 1LG9.pdb 分区 pocket=55/377 core=158 surface=179
[05:32:37]   ℹ️ 1LVG.pdb 分区 pocket=55/190 core=52 surface=98
[05:32:38]   ℹ️ 1IN5.pdb 分区 pocket=31/301 core=129 surface=151
[05:32:38]   ℹ️ 1O3N.pdb resnum 对齐 212/223（11 个非标准/parse独有残基 frac=0）
[05:32:38]   ℹ️ 1O3N.pdb 分区 pocket=36/223 core=105 surface=97
[05:32:40]   ℹ️ 1LJN.pdb 分区 pocket=34/129 core=42 surface=69
[05:32:40]   ℹ️ 11BA.pdb 分区 pocket=65/248 core=72 surface=142
[05:32:40]   ℹ️ 1FSC.pdb 分区 pocket=7/61 core=16 surface=42
[05:32:40]   ℹ️ 1L8J.pdb 分区 pocket=77/170 core=30 surface=99
[05:32:41]   ℹ️ 1LCN.pdb 分区 pocket=31/258 core=109 surface=134
[05:32:41]   ℹ️ 103L.pdb resnum 对齐 157/159（2 个非标准/parse独有残基 frac=0）
[05:32:41]   ℹ️ 103L.pdb 分区 pocket=22/159 core=65 surface=83
[05:32:41]   ℹ️ 1GRO.pdb 分区 pocket=17/414 core=212 surface=193
[05:32:42]   ℹ️ 1J53.pdb 分区 pocket=46/174 core=59 surface=89
[05:32:42]   ℹ️ 1NUU.pdb 分区 pocket=109/425 core=160 surface=195
[05:32:43]   ℹ️ 12GS.pdb 分区 pocket=90/416 core=184 surface=184
[05:32:43]   ℹ️ 1I59.pdb 分区 pocket=74/368 core=129 surface=190
[05:32:43]   ℹ️ 1COT.pdb 分区 pocket=45/121 core=24 surface=69
[05:32:44]   ℹ️ 1MJL.pdb 分区 pocket=46/208 core=65 surface=112
[05:32:44]   ℹ️ 1L6Z.pdb 分区 pocket=38/203 core=60 surface=129
[05:32:44]   ℹ️ 1NID.pdb 分区 pocket=27/333 core=159 surface=154
[05:32:44]   ℹ️ 1FFM.pdb 分区 pocket=8/46 core=4 surface=40
[05:32:45]   ℹ️ 1KRJ.pdb 分区 pocket=59/294 core=126 surface=126
[05:32:45]   ℹ️ 1GJM.pdb 分区 pocket=80/405 core=171 surface=171
[05:32:46]   ℹ️ 1HE5.pdb 分区 pocket=49/205 core=76 surface=96
[05:32:46]   ℹ️ 1EWM.pdb resnum 对齐 196/215（19 个非标准/parse独有残基 frac=0）
[05:32:46]   ℹ️ 1EWM.pdb 分区 pocket=26/215 core=108 surface=90
[05:32:46]   ℹ️ 1CET.pdb resnum 对齐 293/305（12 个非标准/parse独有残基 frac=0）
[05:32:46]   ℹ️ 1CET.pdb 分区 pocket=21/305 core=157 surface=134
[05:32:46]   ℹ️ 1OUE.pdb 分区 pocket=0/130 core=63 surface=67
[05:32:47]   ℹ️ 1O3O.pdb resnum 对齐 212/223（11 个非标准/parse独有残基 frac=0）
[05:32:47]   ℹ️ 1O3O.pdb 分区 pocket=36/223 core=106 surface=96
[05:32:47]   ℹ️ 1OW4.pdb 分区 pocket=54/239 core=74 surface=123
[05:32:48]   ℹ️ 1H56.pdb 分区 pocket=15/312 core=140 surface=164
[05:32:48]   ℹ️ 1KVR.pdb 分区 pocket=102/338 core=130 surface=140
[05:32:48]   ℹ️ 1MDN.pdb 分区 pocket=71/306 core=93 surface=172
[05:32:49]   ℹ️ 1C8Q.pdb 分区 pocket=38/495 core=264 surface=198
[05:32:49]   ℹ️ 1JPU.pdb 分区 pocket=16/361 core=196 surface=155
[05:32:50]   ℹ️ 1JFB.pdb 分区 pocket=60/399 core=163 surface=193
[05:32:51]   ℹ️ 1KWH.pdb 分区 pocket=13/492 core=271 surface=218
[05:32:51]   预解析+encode 799/1364（跳过 1）
[05:32:51]   ℹ️ 1FIH.pdb 分区 pocket=106/462 core=163 surface=252
[05:32:52]   ℹ️ 1A40.pdb 分区 pocket=29/321 core=161 surface=136
[05:32:52]   ℹ️ 1MTB.pdb 分区 pocket=42/198 core=71 surface=104
[05:32:52]   ℹ️ 1JE5.pdb 分区 pocket=16/363 core=150 surface=211
[05:32:53]   ℹ️ 1BXA.pdb 分区 pocket=15/105 core=37 surface=60
[05:32:53]   ℹ️ 1GOX.pdb 分区 pocket=46/350 core=161 surface=148
[05:32:54]   ℹ️ 1OZL.pdb 分区 pocket=67/428 core=190 surface=198
[05:32:54]   ℹ️ 1BKY.pdb 分区 pocket=47/291 core=128 surface=134
[05:32:54]   ℹ️ 1L03.pdb 分区 pocket=5/164 core=73 surface=89
[05:32:54]   ℹ️ 1LM6.pdb 分区 pocket=26/190 core=74 surface=97
[05:32:55]   ℹ️ 1LH0.pdb 分区 pocket=58/419 core=195 surface=184
[05:32:55]   ℹ️ 1AOX.pdb 分区 pocket=37/402 core=187 surface=188
[05:32:56]   ℹ️ 1FGG.pdb 分区 pocket=67/496 core=237 surface=210
[05:32:57]   ℹ️ 1JN1.pdb 分区 pocket=64/471 core=220 surface=201
[05:32:57]   ℹ️ 1NZ5.pdb 分区 pocket=33/153 core=45 surface=93
[05:32:57]   ℹ️ 1CGF.pdb 分区 pocket=106/324 core=98 surface=166
[05:32:58]   ℹ️ 1DKP.pdb 分区 pocket=53/410 core=199 surface=176
[05:32:58]   ℹ️ 1NMY.pdb 分区 pocket=54/209 core=71 surface=102
[05:32:58]   ℹ️ 1LDS.pdb 分区 pocket=8/97 core=31 surface=64
[05:32:59]   ℹ️ 1I6I.pdb 分区 pocket=50/333 core=135 surface=167
[05:32:59]   ℹ️ 1HE4.pdb 分区 pocket=49/205 core=76 surface=97
[05:32:59]   ℹ️ 1I8A.pdb 分区 pocket=54/189 core=67 surface=88
[05:33:00]   ℹ️ 1RJR.pdb 分区 pocket=27/474 core=261 surface=186
[05:33:00]   ℹ️ 1CNY.pdb 分区 pocket=48/256 core=105 surface=116
[05:33:01]   ℹ️ 1NV0.pdb 分区 pocket=44/329 core=149 surface=151
[05:33:01]   ℹ️ 1EDO.pdb 分区 pocket=50/244 core=85 surface=127
[05:33:01]   ℹ️ 1S5N.pdb 分区 pocket=53/386 core=148 surface=198
[05:33:02]   ℹ️ 1DM2.pdb 分区 pocket=74/274 core=102 surface=130
[05:33:02]   ℹ️ 1HQJ.pdb 分区 pocket=102/168 core=34 surface=84
[05:33:02]   ℹ️ 1LJE.pdb 分区 pocket=49/258 core=107 surface=130
[05:33:03]   ℹ️ 1MRH.pdb 分区 pocket=20/246 core=116 surface=115
[05:33:03]   ℹ️ 1B7S.pdb 分区 pocket=0/130 core=60 surface=70
[05:33:03]   ℹ️ 1QIS.pdb 分区 pocket=44/396 core=182 surface=181
[05:33:04]   ℹ️ 1H7G.pdb 分区 pocket=29/486 core=254 surface=214
[05:33:05]   ℹ️ 1PO5.pdb 分区 pocket=47/465 core=201 surface=236
[05:33:05]   ℹ️ 1E8A.pdb 分区 pocket=48/175 core=60 surface=95
[05:33:05]   ℹ️ 1JBC.pdb 分区 pocket=26/237 core=105 surface=113
[05:33:06]   ℹ️ 13NE.pdb 分区 pocket=32/313 core=152 surface=150
[05:33:06]   ℹ️ 1CAA.pdb 分区 pocket=19/53 core=12 surface=35
[05:33:06]   ℹ️ 1DZ0.pdb 分区 pocket=16/129 core=43 surface=75
[05:33:06]   ℹ️ 1GNM.pdb 分区 pocket=48/198 core=71 surface=100
[05:33:06]   ℹ️ 1CPN.pdb 分区 pocket=11/208 core=102 surface=99
[05:33:07]   ℹ️ 1S2D.pdb 分区 pocket=71/499 core=234 surface=226
[05:33:07]   ℹ️ 1M7Q.pdb 分区 pocket=41/348 core=144 surface=180
[05:33:08]   ℹ️ 1JD3.pdb 分区 pocket=24/164 core=60 surface=83
[05:33:08]   ℹ️ 1AMK.pdb 分区 pocket=29/250 core=117 surface=114
[05:33:09]   ℹ️ 1E1Z.pdb 分区 pocket=30/481 core=277 surface=182
[05:33:09]   ℹ️ 1QZ5.pdb 分区 pocket=88/358 core=141 surface=160
[05:33:09]   ℹ️ 1IAM.pdb 分区 pocket=11/185 core=77 surface=105
[05:33:10]   ℹ️ 1PHZ.pdb 分区 pocket=9/403 core=213 surface=182
[05:33:10]   ℹ️ 1PUI.pdb 分区 pocket=49/333 core=145 surface=167
[05:33:11]   ℹ️ 1S55.pdb 分区 pocket=30/468 core=249 surface=195
[05:33:11]   ℹ️ 1SN0.pdb 分区 pocket=74/463 core=199 surface=206
